Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Pennsylvania State University-Penn State Wilkes-Barre,"44 University Drive, Dallas, Pennsylvania 18627-0217",https://wilkesbarre.psu.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Rural: Fringe,No,353,348,17%,44%,Fall 2017,"$16,275 ",-,214643,332917
Pennsylvania State University-Penn State York,"1031 Edgecomb Avenue, York, Pennsylvania 17403-3326",https://www.york.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Midsize,No,707,702,11%,55%,Fall 2017,"$19,159 ",-,214829,332918
Pennsylvania State University-World Campus,"President's Office 201 Old Main, University Park, Pennsylvania 16802-1503",https://www.worldcampus.psu.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,City: Small,No,13564,7945,34%,2%,Fall 2017,"$21,171 ",-,479956,332900
Pennsylvania Western University,"250 University Avenue, California, Pennsylvania 15419",https://www.pennwest.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Town: Distant,Yes,11305,8336,51%,21%,Fall 2017,"$19,579 ",-,498571,331600
Philadelphia College of Osteopathic Medicine,"4170 City Ave, Philadelphia, Pennsylvania 19131",www.pcom.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,City: Large,Yes,3027,,NA,NA,Fall 2017,NA,-,215123,335200
Philadelphia Technician Training,"7446 D Ogontz Avenue, Philadelphia, Pennsylvania 19138-1324",www.ptt.edu/,"< 2-year, Private not-for-profit",One but less than two years certificate,City: Large,No,492,492,50%,NA,2020-21,"$22,978 ",Sterile Processing Technology/Technician,483823,4221300
PITC Institute,"827 Glenside Ave, Admin Bldg. A, Wyncote, Pennsylvania 19095",pitc.edu/index.html,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,113,113,33%,NA,Fall 2020,"$19,372 ","Practical Nursing, Vocational Nursing and Nursing Assistants, Other",444811,3781300
Pittsburgh Institute of Aeronautics,"5 Allegheny County Airport, West Mifflin, Pennsylvania 15122",www.pia.edu/,"2-year, Private not-for-profit",Associate's degree|Two but less than 4 years certificate,Suburb: Large,No,591,591,59%,NA,Fall 2020,"$29,065 ",-,215381,531000
Pittsburgh Institute of Mortuary Science Inc,"5808 Baum Blvd, Pittsburgh, Pennsylvania 15206-3706",www.pims.edu/,"2-year, Private not-for-profit",One but less than two years certificate|Associate's degree,City: Large,No,402,402,92%,NA,Fall 2020,NA,"Funeral Service and Mortuary Science, General",215390,1081400
Pittsburgh Theological Seminary,"616 N Highland Ave, Pittsburgh, Pennsylvania 15206-2596",https://www.pts.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,City: Large,Yes,223,,NA,NA,Fall 2017,NA,-,215424,335600
Point Park University,"201 Wood St, Pittsburgh, Pennsylvania 15222-1984",www.pointpark.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,3299,2323,60%,24%,Fall 2017,"$25,477 ",-,215442,335700
Premier Barber Institute,"573 East Main Street, Norristown, Pennsylvania 19401-5163",www.premierbarberinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,83,83,50%,13%,2020-21,"$19,695 ",Barbering/Barber,488369,4252300
Prism Career Institute-Philadelphia,"8040 Roosevelt Boulevard, Philadelphia, Pennsylvania 19152",prismcareerinstitute.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Large,No,406,406,41%,NA,2020-21,"$27,256 ","Practical Nursing, Vocational Nursing and Nursing Assistants, Other",417840,2558700
Reading Area Community College,"10 S Second St, Reading, Pennsylvania 19603",https://www.racc.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,City: Small,No,4788,4788,26%,20%,Fall 2020,"$8,869 ",-,215585,1038800
Reading Hospital School of Health Sciences,"1025 Old Wyomissing Road, Reading, Pennsylvania 19611",https://reading.towerhealth.org/academics/health-sciences/,"2-year, Private not-for-profit",One but less than two years certificate|Two but less than 4 years certificate,City: Small,Yes,270,270,28%,NA,Fall 2020,"$16,689 ",-,215594,656500
Reconstructionist Rabbinical College,"1299 Church Rd, Wyncote, Pennsylvania 19095-1898",www.rrc.edu/,"4-year, Private not-for-profit",Master's degree,Suburb: Large,No,43,,NA,NA,Fall 2017,NA,-,215619,2273400
Relay Graduate School of Education - Philadelphia & Camden,"100 W. Oxford St., Suite 2100 E, Philadelphia, Pennsylvania 19122-4906",relay.edu/location/relay-philadelphia-camden,"4-year, Private not-for-profit",,City: Large,,,,NA,NA,Fall 2023,NA,-,47503308,4208608
Robert Morris University,"6001 University Boulevard, Moon Township, Pennsylvania 15108-1189",www.rmu.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,4737,3769,66%,23%,Fall 2017,"$26,215 ",-,215655,335900
Rosedale Technical College,"215 Beecham  Drive, Pittsburgh, Pennsylvania 15205-9791",www.rosedaletech.edu/,"2-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,405,405,80%,NA,Fall 2020,"$15,372 ",-,215682,1205000
Rosemont College,"1400 Montgomery Ave, Rosemont, Pennsylvania 19010-1699",www.rosemont.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,777,484,43%,12%,Fall 2017,"$19,297 ",-,215691,336000
Roxborough Memorial Hospital School of Nursing,"5800 Ridge Ave, Philadelphia, Pennsylvania 19128",www.roxboroughmemorial.com/,"2-year, Private for-profit",Two but less than 4 years certificate,City: Large,No,144,144,NA,NA,Fall 2020,NA,-,213932,1321400
Saint Charles Borromeo Seminary-Overbrook,"1400 Evans Road, Ambler, Pennsylvania 19002",www.scs.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,173,41,44%,NA,Fall 2017,"$32,698 ",-,216047,336400
Saint Francis University,"132 Franciscan Way, Loretto, Pennsylvania 15940",www.francis.edu/,"4-year, Private not-for-profit",Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Rural: Distant,Yes,2835,2429,73%,NA,Fall 2017,"$27,421 ",-,215743,336600
Saint Joseph's University - Lancaster,"850 Greenfield Road, Lancaster, Pennsylvania 17601",https://www.sju.edu/lancaster,"4-year, primarily associate's, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Rural: Fringe,No,1770,1648,67%,22%,Fall 2017,"$33,565 ",-,442356,336716
Saint Joseph's University - Philadelphia,"5600 City Avenue, Philadelphia, Pennsylvania 19131-1395",https://www.sju.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,7201,4828,80%,7%,Fall 2017,"$36,392 ",-,215770,336700
Saint Vincent College,"300 Fraser Purchase Rd, Latrobe, Pennsylvania 15650-2690",https://www.stvincent.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Master's degree|Doctor's degree - professional practice,Suburb: Large,Yes,1442,1280,72%,13%,Fall 2017,"$23,857 ",-,215798,336800
Saint Vincent Seminary,"300 Fraser Purchase Road, Latrobe, Pennsylvania 15650-2690",https://www.saintvincentseminary.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,76,,NA,NA,Fall 2017,NA,-,215813,336800
Salus University,"8360 Old York Rd, Elkins Park, Pennsylvania 19027-6262",https://www.salus.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,Suburb: Large,No,1148,,NA,NA,Fall 2017,NA,-,214564,331100
Schuylkill Technology Center,"101 Technology Dr, Frackville, Pennsylvania 17931",www.stcenters.org/,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Town: Distant,No,74,74,57%,22%,2020-21,"$3,569 ",Licensed Practical/Vocational Nurse Training,215886,2251200
Seton Hill University,"1 Seton Hill Drive, Greensburg, Pennsylvania 15601",www.setonhill.edu/,"4-year, Private not-for-profit",One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice,Suburb: Large,Yes,1984,1597,71%,22%,Fall 2017,"$23,732 ",-,215947,336200
Shippensburg University of Pennsylvania,"1871 Old Main Drive, Shippensburg, Pennsylvania 17257-2299",www.ship.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,Town: Fringe,Yes,5184,4421,52%,27%,Fall 2017,"$23,344 ",-,216010,332600
Slippery Rock University of Pennsylvania,"1 Morrow Way, Slippery Rock, Pennsylvania 16057-1383",https://www.sru.edu/,"4-year, Public",Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Town: Distant,Yes,8350,6803,66%,19%,Fall 2017,"$18,407 ",-,216038,332700
Somerset County Technology Center,"281 Technology Dr, Somerset, Pennsylvania 15501-4309",sctc.net/,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Rural: Fringe,No,50,50,91%,NA,2020-21,"$15,988 ",Licensed Practical/Vocational Nurse Training,457943,4149800
South Hills Beauty Academy,"3269 W Liberty Ave, Pittsburgh, Pennsylvania 15216",www.shnhbeauty.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,282,282,91%,NA,2020-21,"$5,248 ",Aesthetician/Esthetician and Skin Care Specialist,216074,1292900
South Hills School of Business & Technology,"480 Waupelani Dr, State College, Pennsylvania 16801-4516",www.southhills.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,City: Small,No,242,242,61%,4%,Fall 2020,"$22,311 ",-,216083,1326300
South Hills School of Business and Technology-Altoona,"541 58th Street, Altoona, Pennsylvania 16602",https://www.southhills.edu/,"2-year, Private for-profit",,City: Small,,,,NA,NA,Fall 2023,NA,-,21608301,1326304
St Lukes Hospital School of Nursing,"801 Ostrum Street, Bethlehem, Pennsylvania 18015",https://www.slhn.org/bethlehem,"< 2-year, Private not-for-profit",One but less than two years certificate,Suburb: Large,Yes,340,340,NA,NA,2020-21,NA,-,216162,657400
Strayer University-Allentown Campus,"520 Hamilton Street, 100, Allentown, Pennsylvania 18101",www.strayer.edu/campus-locations/pennsylvania/allentown,"4-year, Private for-profit",,City: Midsize,,,,NA,NA,Fall 2023,NA,-,44378406,
Strayer University-Center City Campus,"1601 Cherry St Ste 100, Philadelphia, Pennsylvania 19102",www.strayer.edu/campus-locations/pennsylvania/center-city,"4-year, Private for-profit",,City: Large,,,,NA,NA,Fall 2023,NA,-,44378403,145947
Strayer University-Pennsylvania,"3800 Horizon Blvd Ste 100, Trevose, Pennsylvania 19053",https://www.strayer.edu/campus-locations/pennsylvania/lower-bucks-county,"4-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,No,1503,1334,NA,NA,Fall 2017,"$21,360 ",-,443784,145935
Studio Incamminati,"1901 S. 9th Street, Bok 7th Floor, Philadelphia, Pennsylvania 19148-2384",www.studioincamminati.edu/,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,No,40,40,NA,NA,Fall 2020,NA,-,485856,4232000
Susquehanna County Career and Technology Center,"2380 Elk Lake School Road, Springville, Pennsylvania 18844",www.scctc-school.org/,"< 2-year, Public",One but less than two years certificate,Rural: Distant,No,59,59,97%,NA,2020-21,"$3,827 ",Licensed Practical/Vocational Nurse Training,441672,3561400
Susquehanna University,"514 University Ave, Selinsgrove, Pennsylvania 17870-1025",www.susqu.edu/,"4-year, Private not-for-profit",Bachelor's degree|Master's degree,Town: Distant,Yes,2247,2241,74%,NA,Fall 2017,"$27,258 ",-,216278,336900
Swarthmore College,"500 College Ave, Swarthmore, Pennsylvania 19081",www.swarthmore.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,Yes,1644,1644,94%,NA,Fall 2017,"$17,930 ",-,216287,337000
Talmudical Yeshiva of Philadelphia,"6063 Drexel Rd, Philadelphia, Pennsylvania 19131",https://www.meterware.com/typ/Talmudical_Yeshiva_of_Philadelphia/?C=N;O=D,"4-year, Private not-for-profit",Bachelor's degree,City: Large,Yes,120,120,82%,18%,Fall 2017,"$11,018 ",-,216311,1252300
Temple University,"1801 North Broad Street, Philadelphia, Pennsylvania 19122-6096",www.temple.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,30205,21720,75%,12%,Fall 2017,"$29,641 ",-,216339,337100
Thaddeus Stevens College of Technology,"750 E King St, Lancaster, Pennsylvania 17602-3198",stevenscollege.edu/,"2-year, Public",One but less than two years certificate|Associate's degree,City: Small,Yes,1453,1453,60%,NA,Fall 2020,"$5,866 ",-,216296,791200
The  Beauty Institute,"153 Lehigh Valley Mall, Whitehall, Pennsylvania 18052",https://www.thebeautyinstituteskp.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,61,61,58%,NA,2020-21,"$15,131 ","Cosmetology/Cosmetologist, General",210711,2144000
The Beauty Institute,"9902 E. Roosevelt Blvd, Philadelphia, Pennsylvania 19115",www.thebeautyinstituteskp.edu/,"< 2-year, Private for-profit",,City: Large,,,,NA,NA,Fall 2023,NA,"Cosmetology/Cosmetologist, General",21078401,2206201
The Beauty Institute,"344 Stroud Mall Road Suite 308, Stroudsburg, Pennsylvania 18360-1720",www.thebeautyinstituteskp.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Town: Fringe,No,51,51,66%,NA,2020-21,"$19,532 ","Cosmetology/Cosmetologist, General",216223,2206300
The Beauty Institute-Ambler,"50 E. Butler Pike, Ambler, Pennsylvania 19002",ambler.thebeautyinstituteskp.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,152,152,60%,NA,2020-21,"$16,608 ","Cosmetology/Cosmetologist, General",210784,2206200
The Rapha School,"17 Griffith Drive, Home, Pennsylvania 15747-9615",https://www.theraphaschool.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Rural: Distant,No,51,51,100%,NA,2020-21,"$11,589 ",Licensed Practical/Vocational Nurse Training,497189,4288000
The Salon Professional Academy,"130 West Main Street, Suite 106, Collegeville, Pennsylvania 19426-2025",https://www.tspacollegeville.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,72,72,89%,NA,2020-21,NA,"Cosmetology/Cosmetologist, General",498359,4297000
The Salon Professional Academy-Altoona,"415 D Orchard Avenue, Altoona, Pennsylvania 16601-2419",www.tspaaltoona.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Small,No,66,66,84%,NA,2020-21,"$17,568 ","Cosmetology/Cosmetologist, General",215530,895500
Theological Seminary of the Reformed Episcopal Church,"800 Church Rd, Oreland, Pennsylvania 19075",reseminary.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree,Suburb: Large,No,12,,NA,NA,Fall 2017,NA,-,216348,337500
Thiel College,"75 College Ave, Greenville, Pennsylvania 16125-2181",https://www.thiel.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree,Town: Distant,Yes,920,819,44%,31%,Fall 2017,"$22,490 ",-,216357,337600
Thomas Jefferson University,"1020 Walnut Street, Philadelphia, Pennsylvania 19107",www.jefferson.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other,City: Large,Yes,8315,3731,68%,23%,Fall 2017,"$29,097 ",-,216366,1239300
Triangle Tech Inc-Bethlehem,"3184 Airport Road, Bethlehem, Pennsylvania 18017",https://www.triangle-tech.edu/,"2-year, Private for-profit",Associate's degree,City: Small,No,94,94,75%,NA,Fall 2020,"$21,844 ",-,448859,2129003
Triangle Tech Inc-Dubois,"225 Tannery Row Road, Falls Creek, Pennsylvania 15840-3333",https://www.triangle-tech.edu/,"2-year, Private for-profit",Associate's degree,Rural: Fringe,No,79,79,67%,3%,Fall 2020,"$18,004 ",-,216454,2174400
Triangle Tech Inc-Greensburg,"222 E Pittsburgh St Ste A, Greensburg, Pennsylvania 15601-3304",https://triangle-tech.edu/,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,100,100,80%,NA,Fall 2020,"$20,880 ",-,216445,2129000
Triangle Tech Inc-Pittsburgh,"1940 Perrysville Avenue, Pittsburgh, Pennsylvania 15214-3897",www.triangle-tech.edu/,"2-year, Private for-profit",Associate's degree,City: Large,No,90,90,59%,NA,Fall 2020,"$20,392 ",-,216436,783900
Triangle Tech Inc-Sunbury,"191 Performance Road, Sunbury, Pennsylvania 17801",https://www.triangle-tech.edu/,"2-year, Private for-profit",One but less than two years certificate|Associate's degree,Rural: Fringe,No,64,64,77%,NA,Fall 2020,"$20,594 ",-,443377,2174401
Triangle Tech-Chambersburg,"1669 Opportunity Avenue, Chambersburg, Pennsylvania 17201-7834",https://triangle-tech.edu/,"2-year, Private for-profit",One but less than two years certificate|Associate's degree,Suburb: Small,No,63,63,73%,NA,Fall 2020,"$23,210 ",-,496265,783908
Trinity Anglican Seminary,"311 Eleventh St, Ambridge, Pennsylvania 15003-2397",tas.edu/,"4-year, Private not-for-profit",Master's degree|Doctor's degree,Suburb: Large,No,227,,NA,NA,Fall 2017,NA,-,216463,2299300
United Lutheran Seminary,"61 Seminary Ridge, Gettysburg, Pennsylvania 17325-1795",https://www.unitedlutheranseminary.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship,Town: Fringe,Yes,258,,NA,NA,Fall 2017,NA,-,213631,329100
Universal Technical Institute of Pennsylvania Inc,"750 Pennsylvania Drive, Exton, Pennsylvania 19341",www.uti.edu/,"2-year, Private for-profit",One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,Suburb: Large,No,1004,1004,54%,NA,Fall 2020,"$23,424 ",Automobile/Automotive Mechanics Technology/Technician,445799,2362002
University of Pennsylvania,"34th & Spruce Street, Philadelphia, Pennsylvania 19104-6303",www.upenn.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,28711,11611,97%,NA,Fall 2017,"$26,017 ",-,215062,337800
University of Pittsburgh-Bradford,"300 Campus Drive, Bradford, Pennsylvania 16701",https://www.upb.pitt.edu/,"4-year, Public",Associate's degree|Bachelor's degree,Town: Remote,Yes,1003,1003,43%,36%,Fall 2017,"$17,015 ",-,215266,337903
University of Pittsburgh-Greensburg,"150 Finoli Drive, Greensburg, Pennsylvania 15601-5860",www.greensburg.pitt.edu/,"4-year, Public",Less than one year certificate|Bachelor's degree,Suburb: Large,Yes,1326,1326,40%,48%,Fall 2017,"$17,196 ",-,215275,337904
University of Pittsburgh-Johnstown,"450 Schoolhouse Road, Johnstown, Pennsylvania 15904",www.upj.pitt.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Bachelor's degree,Suburb: Small,Yes,1940,1940,53%,30%,Fall 2017,"$17,909 ",-,215284,337902
University of Pittsburgh-Pittsburgh Campus,"4200 Fifth Avenue, Pittsburgh, Pennsylvania 15260",www.pitt.edu/,"4-year, Public",Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Large,Yes,34525,25171,84%,11%,Fall 2017,"$24,338 ",-,215293,337900
University of Pittsburgh-Titusville,"504 East Main Street, Titusville, Pennsylvania 16354",www.titusville.pitt.edu/home,"2-year, Public",Associate's degree,Town: Distant,No,28,28,0%,NA,Fall 2020,"$13,371 ",-,215309,337901
University of Scranton,"800 Linden Street, Scranton, Pennsylvania 18510-4699",www.scranton.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,City: Small,Yes,4825,3666,81%,NA,Fall 2017,"$32,100 ",-,215929,338400
University of Valley Forge,"1401 Charlestown Road, Phoenixville, Pennsylvania 19460-2373",https://www.valleyforge.edu/,"4-year, Private not-for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree,Suburb: Large,Yes,573,498,56%,24%,Fall 2017,"$27,854 ",-,216542,330600
UPMC Jameson School of Nursing,"2414 Wilmington Road, New Castle, Pennsylvania 16105",www.upmc.com/healthcare-professionals/education/schools-of-nursing/campuses/jameson,"2-year, Private not-for-profit",Two but less than 4 years certificate,Town: Fringe,No,332,332,57%,NA,Fall 2020,"$20,253 ",-,213163,820000
UPMC Jameson School of Nursing - UPMC Hamot,"650 East Avenue, Erie, Pennsylvania 16503-1524",https://www.upmc.com/healthcare-professionals/education/schools-of-nursing/campuses/jameson-hamot,"2-year, Private not-for-profit",,City: Small,,,,NA,NA,Fall 2023,NA,-,21316301,820002
UPMC Mercy School of Nursing,"1401 Blvd of the Allies, Pittsburgh, Pennsylvania 15219-5166",https://www.upmc.com/mercyson,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,Yes,305,305,80%,NA,Fall 2020,"$29,943 ",-,431600,489900
UPMC Shadyside - at UPMC Harrisburg,"Strawberry Square 320 Market Street, Suite 180, Harrisburg, Pennsylvania 17101-2225",https://www.upmc.com/healthcare-professionals/education/schools-of-nursing/campuses/shadyside-harrisburg,"< 2-year, Private not-for-profit",,City: Small,,,,NA,NA,Fall 2023,NA,-,21597401,657703
UPMC Shadyside School of Nursing,"5230 Centre Ave, Pittsburgh, Pennsylvania 15232",https://www.upmc.com/shyson,"2-year, Private not-for-profit",Two but less than 4 years certificate,City: Large,No,594,594,43%,NA,Fall 2020,"$21,756 ",-,215974,657700
UPMC St. Margaret School of Nursing,"221 Seventh Street, Suite 100, Pittsburgh, Pennsylvania 15238-3250",https://www.upmc.com/stmargson,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,91,91,50%,NA,Fall 2020,"$15,921 ",-,213622,655100
Ursinus College,"601 E. Main St, Collegeville, Pennsylvania 19426-1000",www.ursinus.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,Yes,1492,1492,77%,NA,Fall 2017,"$31,625 ",-,216524,338500
Valley Forge Military College,"1001 Eagle Rd, Wayne, Pennsylvania 19087-3695",https://www.vfmac.edu/,"2-year, Private not-for-profit",Less than one year certificate|Associate's degree,Suburb: Large,Yes,86,86,94%,6%,Fall 2020,"$28,985 ",-,216551,338600
Venango County Area Vocational Technical School,"1 Vo-Tech Dr, Oil City, Pennsylvania 16301",www.vtc1.org/,"< 2-year, Public",One but less than two years certificate,Town: Remote,No,57,57,52%,NA,2020-21,"$12,785 ",Licensed Practical/Vocational Nurse Training,418524,2306200
Venus Beauty Academy,"600 Turner Industrial Way, Aston, Pennsylvania 19014",www.venusbeautyacademy.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,71,71,84%,NA,2020-21,"$18,184 ","Cosmetology/Cosmetologist, General",216579,2061000
Vet Tech Institute,"125 Seventh St, Pittsburgh, Pennsylvania 15222-3400",vti.edu/,"2-year, Private for-profit",Associate's degree,City: Large,No,199,199,63%,NA,Fall 2020,"$14,164 ",-,213914,856800
Villanova University,"800 Lancaster Avenue, Villanova, Pennsylvania 19085-1699",www.villanova.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,10111,7063,92%,6%,Fall 2017,"$37,946 ",-,216597,338800
Walnut Hill College,"4207 Walnut St, Philadelphia, Pennsylvania 19104",https://www.walnuthillcollege.edu/,"4-year, primarily associate's, Private for-profit",Associate's degree|Bachelor's degree,City: Large,Yes,127,127,60%,NA,Fall 2017,"$31,989 ",-,215637,2192800
Washington & Jefferson College,"60 S Lincoln St, Washington, Pennsylvania 15301",www.washjeff.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree,Suburb: Large,Yes,1162,1162,71%,22%,Fall 2017,"$26,051 ",-,216667,338900
Washington Health System School of Nursing,"155 Wilson Ave, Washington, Pennsylvania 15301",https://whs.org/school-of-nursing/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,39,39,NA,NA,Fall 2020,NA,-,216630,658200
Waynesburg University,"51 West College Street, Waynesburg, Pennsylvania 15370-1257",www.waynesburg.edu/,"4-year, Private not-for-profit",Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Town: Distant,Yes,1315,1088,61%,NA,Fall 2017,"$22,837 ",-,216694,339100
Welder Training and Testing Institute,"729 E. Highland Street, Allentown, Pennsylvania 18109-3253",www.wtti.edu/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,City: Midsize,No,51,51,93%,NA,2020-21,"$22,661 ",Welding Technology/Welder,216746,1162200
West Chester University of Pennsylvania,"University Avenue and High Street, West Chester, Pennsylvania 19383",https://www.wcupa.edu/,"4-year, Public",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice,Suburb: Large,Yes,17076,14344,70%,17%,Fall 2017,"$21,684 ",-,216764,332800
West Virginia Junior College-United Career Institute,"8957 Lincoln Highway Suite 101-A, Irwin, Pennsylvania 15642-2704",unitedcareer.edu/,"2-year, Private for-profit",One but less than two years certificate|Associate's degree,Suburb: Large,No,57,57,86%,NA,Fall 2020,"$15,981 ",-,494755,500703
Western Area Career & Technology Center,"688 Western Avenue, Canonsburg, Pennsylvania 15317",www.wactc.net/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,39,39,NA,NA,2020-21,NA,Licensed Practical/Vocational Nurse Training,368407,2350100
