Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Lansdale School of Cosmetology Inc,"215 W Main St, Lansdale, Pennsylvania 19446-2003",www.lansdalecosmetology.com/,"< 2-year, Private for-profit",Less than one year certificate|One but less than two years certificate,Suburb: Large,No,40,40,56%,NA,2020-21,"$15,065 ","Cosmetology/Cosmetologist, General",213491,2292700
Laurel Business Institute,"11 East Penn St, Uniontown, Pennsylvania 15401",laurel.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate,Town: Distant,No,397,397,79%,NA,Fall 2020,"$9,188 ",-,250027,2546200
Laurel Technical Institute,"2370 Broadway Avenue, Hermitage, Pennsylvania 16148",www.laurel.edu/,"2-year, Private for-profit",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,160,160,74%,NA,Fall 2020,"$8,930 ",-,215992,2092500
Lebanon Valley College,"101 N College Ave, Annville, Pennsylvania 17003-1400",www.lvc.edu/,"4-year, Private not-for-profit",Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice,Suburb: Small,Yes,2142,1710,73%,19%,Fall 2017,"$28,640 ",-,213507,328800
Lehigh Carbon Community College,"4525 Education Park Dr, Schnecksville, Pennsylvania 18078-2598",www.lccc.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Rural: Fringe,No,6385,6385,28%,21%,Fall 2020,"$8,956 ",-,213525,681000
Lehigh Career & Technical Institute,"4500 Education Park Drive, Schnecksville, Pennsylvania 18078-2599",https://www.lcti.org/adulted,"< 2-year, Public",Less than one year certificate|One but less than two years certificate,Rural: Fringe,No,12,12,67%,NA,2020-21,NA,Electromechanical/Electromechanical Engineering Technology/Technician,498739,4122600
Lehigh University,"27 Memorial Drive West, Bethlehem, Pennsylvania 18015",www.lehigh.edu/,"4-year, Private not-for-profit",Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship,City: Small,Yes,7590,5811,89%,NA,Fall 2017,"$33,289 ",-,213543,328900
Lehigh Valley Barber School,"1517B Irene Street, Bethlehem, Pennsylvania 18018-3906",www.lehighvalleybarberschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,53,53,73%,NA,2020-21,"$15,460 ",Barbering/Barber,491677,4267300
Lenape Technical School Practical Nursing Program,"104 Armstrong Street Suite B, Ford City, Pennsylvania 16226",www.lenapepnp.net/,"< 2-year, Public",One but less than two years certificate,Rural: Fringe,No,71,71,81%,NA,2020-21,"$16,120 ",Licensed Practical/Vocational Nurse Training,418515,2282500
Lincoln Technical Institute-Allentown,"5151 Tilghman St, Allentown, Pennsylvania 18104-9889",www.lincolntech.edu/campus/allentown-pa,"2-year, Private for-profit",One but less than two years certificate|Associate's degree,Suburb: Large,No,529,529,59%,NA,Fall 2020,"$36,537 ",Licensed Practical/Vocational Nurse Training,213570,730308
Lincoln Technical Institute-Philadelphia,"9191 Torresdale Ave, Philadelphia, Pennsylvania 19136",www.lincolntech.edu/campus/philadelphia-pa,"2-year, Private for-profit",One but less than two years certificate|Associate's degree,City: Large,No,374,374,54%,NA,Fall 2020,"$28,202 ",Automobile/Automotive Mechanics Technology/Technician,213589,730305
Lincoln University,"1570 Baltimore Pike, Lincoln University, Pennsylvania 19352-0999",www.lincoln.edu/,"4-year, Public",Bachelor's degree|Master's degree,Suburb: Large,Yes,1848,1717,52%,27%,Fall 2017,"$12,910 ",-,213598,329000
Luzerne County Community College,"521 Trailblazer Drive, Nanticoke, Pennsylvania 18634",www.luzerne.edu/,"2-year, Public",Less than one year certificate|One but less than two years certificate|Associate's degree,Suburb: Large,No,4315,4315,21%,18%,Fall 2020,"$9,467 ",-,213659,681100
Lycoming College,"One College Place, Williamsport, Pennsylvania 17701-5192",https://www.lycoming.edu/,"4-year, Private not-for-profit",Bachelor's degree,City: Small,Yes,1063,1063,60%,30%,Fall 2017,"$20,733 ",-,213668,329300
