ZIP Code,State,County,
19103,Pennsylvania,Philadelphia County,
18018,Pennsylvania,Lehigh County,
16630,Pennsylvania,Cambria County,
18104,Pennsylvania,Lehigh County,
19014,Pennsylvania,Delaware County,
16143,Pennsylvania,Lawrence County,
16101,Pennsylvania,Lawrence County,
18020,Pennsylvania,Northampton County,
18372,Pennsylvania,Monroe County,
16365,Pennsylvania,Warren County,
18848,Pennsylvania,Bradford County,
19114,Pennsylvania,Philadelphia County,
19103,Pennsylvania,Philadelphia County,
15301,Pennsylvania,Washington County,
19007,Pennsylvania,Bucks County,
19102,Pennsylvania,Philadelphia County,
17603,Pennsylvania,Lancaster County,
17701,Pennsylvania,Lycoming County,
15202,Pennsylvania,Allegheny County,
15904,Pennsylvania,Cambria County,
19063,Pennsylvania,Delaware County,
16802,Pennsylvania,Centre County,
19001,Pennsylvania,Montgomery County,
16601,Pennsylvania,Blair County,
15061,Pennsylvania,Beaver County,
19610,Pennsylvania,Berks County,
19063,Pennsylvania,Delaware County,
15801,Pennsylvania,Clearfield County,
16563,Pennsylvania,Erie County,
15456,Pennsylvania,Fayette County,
19355,Pennsylvania,Chester County,
15132,Pennsylvania,Allegheny County,
17057,Pennsylvania,Dauphin County,
18202,Pennsylvania,Luzerne County,
18034,Pennsylvania,Lehigh County,
17237,Pennsylvania,Franklin County,
15068,Pennsylvania,Westmoreland County,
17972,Pennsylvania,Schuylkill County,
18512,Pennsylvania,Lackawanna County,
16146,Pennsylvania,Mercer County,
18627,Pennsylvania,Luzerne County,
17403,Pennsylvania,York County,
16802,Pennsylvania,Centre County,
15419,Pennsylvania,Washington County,
19131,Pennsylvania,Philadelphia County,
19138,Pennsylvania,Philadelphia County,
19095,Pennsylvania,Montgomery County,
15122,Pennsylvania,Allegheny County,
15206,Pennsylvania,Allegheny County,
15206,Pennsylvania,Allegheny County,
15222,Pennsylvania,Allegheny County,
19401,Pennsylvania,Montgomery County,
19152,Pennsylvania,Philadelphia County,
19603,Pennsylvania,Berks County,
19611,Pennsylvania,Berks County,
19095,Pennsylvania,Montgomery County,
19122,Pennsylvania,Philadelphia County,
15108,Pennsylvania,Allegheny County,
15205,Pennsylvania,Allegheny County,
19010,Pennsylvania,Delaware County,
19128,Pennsylvania,Philadelphia County,
19002,Pennsylvania,Montgomery County,
15940,Pennsylvania,Cambria County,
17601,Pennsylvania,Lancaster County,
19131,Pennsylvania,Philadelphia County,
15650,Pennsylvania,Westmoreland County,
15650,Pennsylvania,Westmoreland County,
19027,Pennsylvania,Montgomery County,
17931,Pennsylvania,Schuylkill County,
15601,Pennsylvania,Westmoreland County,
17257,Pennsylvania,Cumberland County,
16057,Pennsylvania,Butler County,
15501,Pennsylvania,Somerset County,
15216,Pennsylvania,Allegheny County,
16801,Pennsylvania,Centre County,
16602,Pennsylvania,Blair County,
18015,Pennsylvania,Northampton County,
18101,Pennsylvania,Lehigh County,
19102,Pennsylvania,Philadelphia County,
19053,Pennsylvania,Bucks County,
19148,Pennsylvania,Philadelphia County,
18844,Pennsylvania,Susquehanna County,
17870,Pennsylvania,Snyder County,
19081,Pennsylvania,Delaware County,
19131,Pennsylvania,Philadelphia County,
19122,Pennsylvania,Philadelphia County,
17602,Pennsylvania,Lancaster County,
18052,Pennsylvania,Lehigh County,
19115,Pennsylvania,Philadelphia County,
18360,Pennsylvania,Monroe County,
19002,Pennsylvania,Montgomery County,
15747,Pennsylvania,Indiana County,
19426,Pennsylvania,Montgomery County,
16601,Pennsylvania,Blair County,
19075,Pennsylvania,Montgomery County,
16125,Pennsylvania,Mercer County,
19107,Pennsylvania,Philadelphia County,
18017,Pennsylvania,Northampton County,
15840,Pennsylvania,Jefferson County,
15601,Pennsylvania,Westmoreland County,
15214,Pennsylvania,Allegheny County,
17801,Pennsylvania,Northumberland County,
17201,Pennsylvania,Franklin County,
15003,Pennsylvania,Beaver County,
17325,Pennsylvania,Adams County,
19341,Pennsylvania,Chester County,
19104,Pennsylvania,Philadelphia County,
16701,Pennsylvania,McKean County,
15601,Pennsylvania,Westmoreland County,
15904,Pennsylvania,Cambria County,
15260,Pennsylvania,Allegheny County,
16354,Pennsylvania,Crawford County,
18510,Pennsylvania,Lackawanna County,
19460,Pennsylvania,Chester County,
16105,Pennsylvania,Lawrence County,
16503,Pennsylvania,Erie County,
15219,Pennsylvania,Allegheny County,
17101,Pennsylvania,Dauphin County,
15232,Pennsylvania,Allegheny County,
15238,Pennsylvania,Allegheny County,
19426,Pennsylvania,Montgomery County,
19087,Pennsylvania,Chester County,
16301,Pennsylvania,Venango County,
19014,Pennsylvania,Delaware County,
15222,Pennsylvania,Allegheny County,
19085,Pennsylvania,Delaware County,
19104,Pennsylvania,Philadelphia County,
15301,Pennsylvania,Washington County,
15301,Pennsylvania,Washington County,
15370,Pennsylvania,Greene County,
18109,Pennsylvania,Lehigh County,
19383,Pennsylvania,Chester County,
15642,Pennsylvania,Westmoreland County,
15317,Pennsylvania,Washington County,
15224,Pennsylvania,Allegheny County,
16172,Pennsylvania,Lawrence County,
19038,Pennsylvania,Montgomery County,
15697,Pennsylvania,Westmoreland County,
19013,Pennsylvania,Delaware County,
18766,Pennsylvania,Luzerne County,
18705,Pennsylvania,Luzerne County,
19063,Pennsylvania,Delaware County,
17201,Pennsylvania,Franklin County,
18974,Pennsylvania,Bucks County,
17401,Pennsylvania,York County,
18505,Pennsylvania,Lackawanna County,
17403,Pennsylvania,York County,
17402,Pennsylvania,York County,
16601,Pennsylvania,Blair County,
17402,Pennsylvania,York County,
